term,oddsratio,pvalue,qvalue,zscore,combined_score,shared,n_shared
ISG15,4.597701149425287,0.08771634417185933,0.2557896113492315,-1.1297644702337466,2.7494479503047122,"['Streptococcus', 'Haemophilus']",2
PTPN11,11.494252873563218,0.021655896959363142,0.10589157220433841,-0.7138115709846132,2.7356667741494083,"['Haemophilus', 'Neisseria']",2
ENO1,4.310344827586207,0.232783689057193,0.45426376954104736,-1.8632164869982655,2.715909369582433,['Porphyromonas'],1
CTNS,7.662835249042145,0.040013987771686736,0.14872250946355245,-0.8414181938184776,2.708126494981742,"['Prevotella', 'Porphyromonas']",2
SFTPA2,6.896551724137931,0.16215108952713952,0.3819163024393799,-1.4825835470321445,2.697155613766515,['Neisseria'],1
CXCR2,3.5366931918656057,0.039343970654047294,0.14872250946355245,-0.8222516384930971,2.6603232617144155,"['Streptococcus', 'Porphyromonas', 'Haemophilus', 'Aggregatibacter']",4
PRELP,9.852216748768473,0.027279320054658496,0.11693735196763609,-0.7370144209160722,2.6544505741786986,"['Streptococcus', 'Haemophilus']",2
PIP,11.494252873563218,0.021655896959363142,0.10589157220433841,-0.6876370808665637,2.6353536300972875,"['Streptococcus', 'Aggregatibacter']",2
RCAN1,6.896551724137931,0.16215108952713952,0.3819163024393799,-1.4470760500527822,2.632559426252903,['Porphyromonas'],1
CEBPB,8.620689655172415,0.033410826733243734,0.13232637188440363,-0.7649902844543377,2.6001065656165827,"['Haemophilus', 'Porphyromonas']",2
ISCU,5.172413793103448,0.029944328939579812,0.12667239150098566,-0.7407270385116522,2.598778092283619,"['Streptococcus', 'Campylobacter', 'Haemophilus']",3
DNMT1,11.494252873563218,0.0011505516902525885,0.01920519754954682,-0.38297583600174956,2.5917942249481216,"['Streptococcus', 'Haemophilus', 'Porphyromonas', 'Fusobacterium']",4
